epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,709.833,1.54163,0.5574,0.98008,1.15692,0.000302663,0.000302663,0.000302663
2,1355.23,1.22313,0.59599,0.98189,1.07983,0.000555695,0.000555695,0.000555695
3,6085.83,1.14332,0.6219,0.98913,1.01255,0.000758733,0.000758733,0.000758733
4,6773.84,1.08868,0.62789,0.98704,0.99217,0.000684022,0.000684022,0.000684022
5,7450.73,1.03296,0.65241,0.98941,0.9545,0.00060903,0.00060903,0.00060903
6,8126.28,0.99512,0.65715,0.99039,0.92537,0.000534037,0.000534037,0.000534037
7,8796.11,0.96009,0.66147,0.99122,0.91913,0.000459045,0.000459045,0.000459045
8,9470.99,0.92459,0.67094,0.99206,0.88581,0.000384052,0.000384052,0.000384052
9,10147.1,0.89446,0.68055,0.99081,0.88291,0.00030906,0.00030906,0.00030906
10,10821.3,0.85548,0.67763,0.99164,0.88377,0.000234068,0.000234068,0.000234068
11,11503.9,0.82331,0.68571,0.99276,0.86562,0.000159075,0.000159075,0.000159075
12,12171.8,0.79268,0.68724,0.99317,0.87776,8.40825e-05,8.40825e-05,8.40825e-05
